Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2,Posterior Parent 1,Posterior Parent 2
PH15_00190,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00191,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00193,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00194,298,PH13_00037,294,,,4.453666E+001,1.0000,298,0,411,352,4.552551E+001,,1.0000,1.0000,<
PH15_00195,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00196,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00198,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00199,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00201,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00202,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00203,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00204,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00208,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00209,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00210,297,PH13_00037,294,,,3.350880E+001,1.0000,297,0,411,352,3.450858E+001,,1.0000,1.0000,<
PH15_00211,298,PH13_00046,298,,,5.416386E+001,1.0000,298,1,411,352,5.429014E+001,,1.0000,1.0000,<
PH15_00212,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00213,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00216,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00217,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00218,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00219,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00220,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00222,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00223,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00224,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00225,266,,,,,0.000000E+000,1.0000,266,0,411,352,,,1.0000,1.0000,<
PH15_00226,277,,,,,0.000000E+000,1.0000,277,0,411,352,,,1.0000,1.0000,<
PH15_00227,291,,,,,0.000000E+000,1.0000,291,0,411,352,,,1.0000,1.0000,<
PH15_00228,288,,,,,0.000000E+000,1.0000,288,0,411,352,,,1.0000,1.0000,<
PH15_00229,293,PH13_00037,294,,,4.311777E+001,1.0000,293,0,411,352,4.401316E+001,,1.0000,1.0000,<
PH15_00230,293,,,,,0.000000E+000,1.0000,293,0,411,352,,,1.0000,1.0000,<
PH15_00231,272,,,,,0.000000E+000,1.0000,272,0,411,352,,,1.0000,1.0000,<
PH15_00232,294,,,,,0.000000E+000,1.0000,294,0,411,352,,,1.0000,1.0000,<
PH15_00234,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00235,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00236,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00237,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00239,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00240,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00241,247,,,,,0.000000E+000,1.0000,247,0,411,352,,,1.0000,1.0000,<
PH15_00242,274,,,,,0.000000E+000,1.0000,274,0,411,352,,,1.0000,1.0000,<
PH15_00245,286,,,,,0.000000E+000,1.0000,286,0,411,352,,,1.0000,1.0000,<
PH15_00246,289,,,,,0.000000E+000,1.0000,289,0,411,352,,,1.0000,1.0000,<
PH15_00250,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00251,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00252,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00253,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00254,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00256,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00257,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00258,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00262,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00264,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00266,298,PH13_00037,294,,,4.597562E+001,1.0000,298,0,411,352,4.697498E+001,,1.0000,1.0000,<
PH15_00267,296,PH13_00037,294,,,5.015523E+001,1.0000,296,0,411,352,5.108662E+001,,1.0000,1.0000,<
PH15_00268,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00269,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00271,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00273,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00274,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00275,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00276,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00277,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00278,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00279,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00280,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00281,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00282,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00283,294,,,,,0.000000E+000,1.0000,294,0,411,352,,,1.0000,1.0000,<
PH15_00284,292,,,,,0.000000E+000,1.0000,292,0,411,352,,,1.0000,1.0000,<
PH15_00286,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00287,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00293,292,,,,,0.000000E+000,1.0000,292,0,411,352,,,1.0000,1.0000,<
PH15_00295,284,,,,,0.000000E+000,1.0000,284,0,411,352,,,1.0000,1.0000,<
PH15_00296,254,PH13_00188,281,,,3.717259E+001,1.0000,254,0,411,352,3.730659E+001,,1.0000,1.0000,<
PH15_00297,283,,,,,0.000000E+000,1.0000,283,0,411,352,,,1.0000,1.0000,<
PH15_00300,284,,,,,0.000000E+000,1.0000,284,0,411,352,,,1.0000,1.0000,<
PH15_00302,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00303,245,,,,,0.000000E+000,1.0000,245,0,411,352,,,1.0000,1.0000,<
PH15_00304,275,,,,,0.000000E+000,1.0000,275,0,411,352,,,1.0000,1.0000,<
PH15_00308,284,,,,,0.000000E+000,1.0000,284,0,411,352,,,1.0000,1.0000,<
PH15_00311,274,,,,,0.000000E+000,1.0000,274,0,411,352,,,1.0000,1.0000,<
PH15_00312,297,PH13_00046,298,,,4.698058E+001,1.0000,297,0,411,352,4.710696E+001,,1.0000,1.0000,<
PH15_00315,294,,,,,0.000000E+000,1.0000,294,0,411,352,,,1.0000,1.0000,<
PH15_00316,294,,,,,0.000000E+000,1.0000,294,0,411,352,,,1.0000,1.0000,<
PH15_00317,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00318,294,,,,,0.000000E+000,1.0000,294,0,411,352,,,1.0000,1.0000,<
PH15_00320,255,,,,,0.000000E+000,1.0000,255,0,411,352,,,1.0000,1.0000,<
PH15_00322,281,,,,,0.000000E+000,1.0000,281,0,411,352,,,1.0000,1.0000,<
PH15_00324,261,,,,,0.000000E+000,1.0000,261,0,411,352,,,1.0000,1.0000,<
PH15_00325,277,,,,,0.000000E+000,1.0000,277,0,411,352,,,1.0000,1.0000,<
PH15_00326,273,,,,,0.000000E+000,1.0000,273,0,411,352,,,1.0000,1.0000,<
PH15_00327,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00329,294,,,,,0.000000E+000,1.0000,294,0,411,352,,,1.0000,1.0000,<
PH15_00330,292,,,,,0.000000E+000,1.0000,292,0,411,352,,,1.0000,1.0000,<
PH15_00332,291,,,,,0.000000E+000,1.0000,291,0,411,352,,,1.0000,1.0000,<
PH15_00333,258,,,,,0.000000E+000,1.0000,258,0,411,352,,,1.0000,1.0000,<
PH15_00334,264,,,,,0.000000E+000,1.0000,264,0,411,352,,,1.0000,1.0000,<
PH15_00335,261,PH13_00037,294,,,3.598869E+001,1.0000,261,0,411,352,3.683872E+001,,1.0000,1.0000,<
PH15_00336,274,,,,,0.000000E+000,1.0000,274,0,411,352,,,1.0000,1.0000,<
PH15_00337,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00338,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00340,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00341,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00342,294,,,,,0.000000E+000,1.0000,294,0,411,352,,,1.0000,1.0000,<
PH15_00347,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00348,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00349,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00350,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00352,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00353,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00355,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
